Riding No.,Riding Name,Political Affiliation,Last Name,First Name,Middle Name
12011,West Nova,Progressive Conservative,Muise,Mark,
12011,West Nova,N.D.P.,Roberts,Phil,
12011,West Nova,Liberal,Thibault,Robert,
13001,Acadie--Bathurst,Canadian Alliance,Gauvin,Jean,
13001,Acadie--Bathurst,N.D.P.,Godin,Yvon,
13001,Acadie--Bathurst,Progressive Conservative,Leger,Alcide,
13001,Acadie--Bathurst,Liberal,Thériault,Bernard,
13002,Beauséjour--Petitcodiac,Liberal,LeBlanc,Dominic,
13002,Beauséjour--Petitcodiac,N.D.P.,Milewski,Inka,
13002,Beauséjour--Petitcodiac,Canadian Alliance,Taylor,Tom,
13002,Beauséjour--Petitcodiac,Progressive Conservative,Vautour,Angela,
13003,New Brunswick Southwest,Canadian Alliance,Erbs,John,
13003,New Brunswick Southwest,Liberal,Gamblin,Winston,
13003,New Brunswick Southwest,N.D.P.,Kilisli,Habib,
13003,New Brunswick Southwest,Progressive Conservative,Thompson,Greg,
13004,Fredericton,N.D.P.,Dunn,Michael,
13004,Fredericton,Canadian Alliance,Neill,Allan,D.
13004,Fredericton,Natural Law Party,Parker,William,H.
13004,Fredericton,Liberal,Scott,Andy,
13004,Fredericton,Progressive Conservative,Venugopal,Raj,
13005,Fundy--Royal,N.D.P.,Calder,John,
13005,Fundy--Royal,Progressive Conservative,Herron,John,
13005,Fundy--Royal,Liberal,King,John,
13005,Fundy--Royal,Canadian Alliance,Moore,Rob,
13006,Madawaska--Restigouche,N.D.P.,Albert,Claude,J.
13006,Madawaska--Restigouche,Liberal,Castonguay,Jeannot,
13006,Madawaska--Restigouche,Canadian Alliance,Chedore,Scott,
13006,Madawaska--Restigouche,Progressive Conservative,Dubé,Jean,F.
13007,Miramichi,Canadian Alliance,Clark,Ken,
13007,Miramichi,N.D.P.,Goodfellow,Allan,
13007,Miramichi,Liberal,Hubbard,Charles,
13007,Miramichi,Progressive Conservative,Kelly,David,
13008,Moncton--Riverview--Dieppe,Canadian Alliance,Barnes,Kathryn,M.
13008,Moncton--Riverview--Dieppe,Liberal,Bradshaw,Claudette,
13008,Moncton--Riverview--Dieppe,Progressive Conservative,Landry,Serge,
13008,Moncton--Riverview--Dieppe,N.D.P.,Lapointe,Hélène,
13008,Moncton--Riverview--Dieppe,Natural Law Party,Maltais,Laurent,
13009,Saint John,Natural Law Party,Couture,Miville,
13009,Saint John,Green Party,Garnett,Vern,M.
13009,Saint John,N.D.P.,Hill,Rod,
13009,Saint John,Canadian Alliance,Touchbourne,Peter
13009,Saint John,Progressive Conservative,Wayne,Elsie
13009,Saint John,Marijuana Party,Wood,Jim
13009,Saint John,Liberal,Zed,Paul
13010,Tobique--Mactaquac,Progressive Conservative,Bernier,Gilles
13010,Tobique--Mactaquac,Canadian Alliance,Richardson,Adam
13010,Tobique--Mactaquac,Liberal,Savoy,Andy
13010,Tobique--Mactaquac,N.D.P.,Van Dine,Carolyn
24001,Abitibi--Baie-James--Nunavik,Canadian Alliance,Dionne,François
24001,Abitibi--Baie-James--Nunavik,N.D.P.,Fredrick,Daniel
24001,Abitibi--Baie-James--Nunavik,Progressive Conservative,Gemme,Sylvain
24001,Abitibi--Baie-James--Nunavik,Bloc Québécois,Lemieux,François
24001,Abitibi--Baie-James--Nunavik,Liberal,St-Julien,Guy
24002,Ahuntsic,Communist,Artuso,Antonio
24002,Ahuntsic,Liberal,Bakopanos,Eleni
24002,Ahuntsic,Progressive Conservative,Chartrand,Jessica
24002,Ahuntsic,Marxist-Leninist,Dorais,Vincent
24002,Ahuntsic,Bloc Québécois,El Amraoui,Fatima
24002,Ahuntsic,Green Party,Ghosh,Mimi
24002,Ahuntsic,N.D.P.,Moran,Steve
24002,Ahuntsic,Canadian Alliance,Romain,Eugenia
24003,Anjou--Rivière-des-Prairies,Liberal,Charbonneau,Yvon
24003,Anjou--Rivière-des-Prairies,Canadian Alliance,Chiazzese,Gianni
24003,Anjou--Rivière-des-Prairies,Bloc Québécois,Dagenais,Jacques
24003,Anjou--Rivière-des-Prairies,Marxist-Leninist,Héroux,Hélène
24003,Anjou--Rivière-des-Prairies,Marijuana Party,Néron,Normand
24003,Anjou--Rivière-des-Prairies,Progressive Conservative,Tanguay,Michel
24003,Anjou--Rivière-des-Prairies,N.D.P.,Whelan,Bruce
24004,Argenteuil--Papineau--Mirabel,Marijuana Party,Audette,Pierre
24004,Argenteuil--Papineau--Mirabel,Green Party,Bisson,Gilles
24004,Argenteuil--Papineau--Mirabel,Liberal,Bourgault,Lise
24004,Argenteuil--Papineau--Mirabel,N.D.P.,Charles,Didier
24004,Argenteuil--Papineau--Mirabel,No Affiliation,Filion,Laurent
24004,Argenteuil--Papineau--Mirabel,Canadian Alliance,Labelle,Francine
24004,Argenteuil--Papineau--Mirabel,Bloc Québécois,Laframboise,Mario
24004,Argenteuil--Papineau--Mirabel,Natural Law Party,Nault,Marie-Thérèse
24004,Argenteuil--Papineau--Mirabel,Progressive Conservative,Pelletier,Jean-Denis
24005,Beauce,Liberal,Drouin,Claude
24005,Beauce,Natural Law Party,Girard,Louis
24005,Beauce,Canadian Alliance,Guay,Alain
24005,Beauce,N.D.P.,Malano,Pierre
24005,Beauce,Bloc Québécois,Morin,Gary
24005,Beauce,Progressive Conservative,Parent,Gérard
24006,Beauharnois--Salaberry,N.D.P.,Clark,Elizabeth
24006,Beauharnois--Salaberry,Liberal,Marcil,Serge
24006,Beauharnois--Salaberry,Progressive Conservative,Myre,Roma
24006,Beauharnois--Salaberry,Canadian Alliance,Renaud,Stephane
24006,Beauharnois--Salaberry,Bloc Québécois,Turp,Daniel
24007,Beauport-Montmorency-Côte-de-Beaupré-Île-d'Orléans,Progressive Conservative,Bernier,Lise
24007,Beauport-Montmorency-Côte-de-Beaupré-Île-d'Orléans,Marxist-Leninist,Bédard,Jean
24007,Beauport-Montmorency-Côte-de-Beaupré-Île-d'Orléans,Marijuana Party,Giroux,Mathieu
24007,Beauport-Montmorency-Côte-de-Beaupré-Île-d'Orléans,Canadian Alliance,Giroux,Robert
24007,Beauport-Montmorency-Côte-de-Beaupré-Île-d'Orléans,Bloc Québécois,Guimond,Michel
24007,Beauport-Montmorency-Côte-de-Beaupré-Île-d'Orléans,N.D.P.,Hébert,Eric
24007,Beauport-Montmorency-Côte-de-Beaupré-Île-d'Orléans,Liberal,Plante,Chantal
24008,Bellechasse--Etchemins--Montmagny--L'Islet,Progressive Conservative,Lafond,Suzanne
24008,Bellechasse--Etchemins--Montmagny--L'Islet,Bloc Québécois,Langlois,François
24008,Bellechasse--Etchemins--Montmagny--L'Islet,Liberal,Normand,Gilbert
24008,Bellechasse--Etchemins--Montmagny--L'Islet,Canadian Alliance,Roy,Jean-Claude
24009,Berthier--Montcalm,Bloc Québécois,Bellehumeur,Michel
24009,Berthier--Montcalm,N.D.P.,De Billy,Jean-Pierre
24009,Berthier--Montcalm,Liberal,Hudon,Jean-Carle
24009,Berthier--Montcalm,Marijuana Party,Hénault,Sébastien
24009,Berthier--Montcalm,Progressive Conservative,Lavigne,Paul
24009,Berthier--Montcalm,Canadian Alliance,Naud,Réal,
24010,Bourassa,Marxist-Leninist,Brunelle,Claude,
24010,Bourassa,Liberal,Coderre,Denis,
24010,Bourassa,Bloc Québécois,Di Genova,Umberto,
24010,Bourassa,Canadian Alliance,François,Marcel,Lys
24010,Bourassa,N.D.P.,Gendron,Richard,
24010,Bourassa,Communist,Nitor,Ulises,
24010,Bourassa,Progressive Conservative,Pitre,Marcel,
24011,Brome--Missisquoi,Progressive Conservative,Grafftey,Heward,
24011,Brome--Missisquoi,N.D.P.,Itcush,Jeff,
24011,Brome--Missisquoi,Bloc Québécois,Leroux,André,
24011,Brome--Missisquoi,Canadian Alliance,Loyer,Jacques,
24011,Brome--Missisquoi,Liberal,Paradis,Denis,
24012,Brossard--La Prairie,Canadian Alliance,Bélisle,Richard,
24012,Brossard--La Prairie,Marxist-Leninist,Chouinard,Normand,
24012,Brossard--La Prairie,Natural Law Party,Larrass,Sylvia,
24012,Brossard--La Prairie,N.D.P.,Provencher,Clémence
24012,Brossard--La Prairie,Liberal,Saada,Jacques
24012,Brossard--La Prairie,Progressive Conservative,St-Louis,Sylvain
24012,Brossard--La Prairie,Bloc Québécois,Tétrault,Nicolas
24013,Chambly,Liberal,Caron,Denis
24013,Chambly,Marijuana Party,Duclos,Sébastien
24013,Chambly,Bloc Québécois,Lebel,Ghislain
24013,Chambly,N.D.P.,O'Toole,Darren
